date,region_group,일별_합계,산불발생여부
2016-10-03,강원,0,0
2016-10-04,강원,0,0
2016-10-05,강원,0,0
2016-10-06,강원,0,0
2016-10-07,강원,0,0
2016-10-08,강원,0,0
2016-10-09,강원,0,0
2016-10-10,강원,0,0
2016-10-11,강원,0,0
2016-10-12,강원,0,0
2016-10-13,강원,0,0
2016-10-14,강원,0,0
2016-10-15,강원,0,0
2016-10-16,강원,0,0
2016-10-17,강원,0,0
2016-10-18,강원,0,0
2016-10-19,강원,0,0
2016-10-20,강원,0,0
2016-10-21,강원,0,0
2016-10-22,강원,0,0
2016-10-23,강원,0,0
2016-10-24,강원,0,0
2016-10-25,강원,0,0
2016-10-26,강원,0,0
2016-10-27,강원,0,0
2016-10-28,강원,0,0
2016-10-29,강원,0,0
2016-10-30,강원,0,0
2016-10-31,강원,0,0
2016-11-01,강원,0,0
2016-11-02,강원,0,0
2016-11-03,강원,0,0
2016-11-04,강원,0,0
2016-11-05,강원,0,0
2016-11-06,강원,0,0
2016-11-07,강원,0,0
2016-11-08,강원,0,0
2016-11-09,강원,0,0
2016-11-10,강원,0,0
2016-11-11,강원,0,0
2016-11-12,강원,0,0
2016-11-13,강원,0,0
2016-11-14,강원,1,1
2016-11-15,강원,0,0
2016-11-16,강원,0,0
2016-11-17,강원,0,0
2016-11-18,강원,0,0
2016-11-19,강원,0,0
2016-11-20,강원,0,0
2016-11-21,강원,1,1
2016-11-22,강원,0,0
2016-11-23,강원,0,0
2016-11-24,강원,0,0
2016-11-25,강원,1,1
2016-11-26,강원,0,0
2016-11-27,강원,0,0
2016-11-28,강원,0,0
2016-11-29,강원,1,1
2016-11-30,강원,0,0
2016-12-01,강원,0,0
2016-12-02,강원,1,1
2016-12-03,강원,0,0
2016-12-04,강원,0,0
2016-12-05,강원,0,0
2016-12-06,강원,0,0
2016-12-07,강원,0,0
2016-12-08,강원,0,0
2016-12-09,강원,0,0
2016-12-10,강원,0,0
2016-12-11,강원,0,0
2016-12-12,강원,0,0
2016-12-13,강원,0,0
2016-12-14,강원,0,0
2016-12-15,강원,0,0
2016-12-16,강원,0,0
2016-12-17,강원,0,0
2016-12-18,강원,0,0
2016-12-19,강원,0,0
2016-12-20,강원,0,0
2016-12-21,강원,0,0
2016-12-22,강원,0,0
2016-12-23,강원,0,0
2016-12-24,강원,0,0
2016-12-25,강원,0,0
2016-12-26,강원,0,0
2016-12-27,강원,0,0
2016-12-28,강원,0,0
2016-12-29,강원,0,0
2016-12-30,강원,0,0
2016-12-31,강원,0,0
2017-01-01,강원,0,0
2017-01-02,강원,0,0
2017-01-03,강원,0,0
2017-01-04,강원,0,0
2017-01-05,강원,0,0
2017-01-06,강원,0,0
2017-01-07,강원,0,0
2017-01-08,강원,0,0
2017-01-09,강원,0,0
2017-01-10,강원,0,0
2017-01-11,강원,1,1
2017-01-12,강원,1,1
2017-01-13,강원,0,0
2017-01-14,강원,1,1
2017-01-15,강원,0,0
2017-01-16,강원,1,1
2017-01-17,강원,0,0
2017-01-18,강원,0,0
2017-01-19,강원,1,1
2017-01-20,강원,0,0
2017-01-21,강원,0,0
2017-01-22,강원,0,0
2017-01-23,강원,0,0
2017-01-24,강원,0,0
2017-01-25,강원,0,0
2017-01-26,강원,0,0
2017-01-27,강원,0,0
2017-01-28,강원,0,0
2017-01-29,강원,0,0
2017-01-30,강원,0,0
2017-01-31,강원,0,0
2017-02-01,강원,0,0
2017-02-02,강원,0,0
2017-02-03,강원,0,0
2017-02-04,강원,0,0
2017-02-05,강원,0,0
2017-02-06,강원,0,0
2017-02-07,강원,0,0
2017-02-08,강원,0,0
2017-02-09,강원,0,0
2017-02-10,강원,0,0
2017-02-11,강원,0,0
2017-02-12,강원,0,0
2017-02-13,강원,0,0
2017-02-14,강원,0,0
2017-02-15,강원,0,0
2017-02-16,강원,0,0
2017-02-17,강원,0,0
2017-02-18,강원,0,0
2017-02-19,강원,0,0
2017-02-20,강원,0,0
2017-02-21,강원,1,1
2017-02-22,강원,1,1
2017-02-23,강원,0,0
2017-02-24,강원,0,0
2017-02-25,강원,0,0
2017-02-26,강원,0,0
2017-02-27,강원,0,0
2017-02-28,강원,2,1
2017-03-01,강원,0,0
