damagearea,endday,endmonth,endtime,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
0.16,22,02,19:00:00,2021,입산자실화,산117-1,능성,동,,대구,22,월요일,02,17:38:00,2021
0.1,22,02,16:06:00,2021,기타,산20-2,간척,화천,간동,강원,22,월요일,02,14:14:00,2021
0.03,22,02,16:40:00,2021,기타,산21,중눌,상주,하남,경북,22,월요일,02,14:07:00,2021
3,22,02,17:00:00,2021,담뱃불실화,산24외 16필지,덕목,논산,벌국,충남,21,일요일,02,19:25:00,2021
0.1,21,02,20:05:00,2021,건축물화재비화,산87-1,중유,거창,신원,경남,21,일요일,02,17:12:00,2021
20,22,02,09:30:00,2021,기타,산101외10필지,옥전,영동,매곡,충북,21,일요일,02,16:05:00,2021
55,22,02,18:00:00,2021,기타,산108외 97필지,유리,예천,감천,경북,21,일요일,02,16:05:00,2021
0.1,21,02,16:55:00,2021,농산부산물소각,산41,사촌,남원,송동,전북,21,일요일,02,15:35:00,2021
250,23,02,07:20:00,2021,기타,산329,망천,안동,임동,경북,21,일요일,02,15:20:00,2021
10,22,02,15:08:00,2021,담뱃불실화,산68-9,미점,하동,악양,경남,21,일요일,02,14:41:00,2021
0.1,21,02,17:20:00,2021,입산자실화,산35,이천,여수,화양,전남,21,일요일,02,14:19:00,2021
0.5,21,02,14:30:00,2021,기타,산25-1,비파,하동,하동,경남,21,일요일,02,10:45:00,2021
0.02,21,02,00:10:00,2021,입산자실화,산24-10,방하,의성,단촌,경북,20,토요일,02,22:52:00,2021
0.01,20,02,17:45:00,2021,기타,산68-1,교로,당진,석문,충남,20,토요일,02,16:50:00,2021
12,22,02,03:00:00,2021,기타,산1,구절,정선,여량,강원,20,토요일,02,15:50:00,2021
0.5,20,02,19:00:00,2021,입산자실화,산1-38,다목,화천,상사,강원,20,토요일,02,13:13:00,2021
0.1,19,02,14:00:00,2021,입산자실화,산32,화동,여수,화양,전남,19,금요일,02,11:20:00,2021
6.5,19,02,10:00:00,2021,기타,18-3외 36필지,사천,양양,양양,강원,18,목요일,02,22:30:00,2021
0.4,18,02,18:00:00,2021,건축물화재비화,산83-2,금산,강릉,성산,강원,18,목요일,02,14:56:00,2021
0.02,16,02,21:30:00,2021,기타,산229-3,봉림,김해,생림,경남,16,화요일,02,20:24:00,2021
1,16,02,19:20:00,2021,입산자실화,산44외 5필지,산계,강릉,옥계,강원,16,화요일,02,14:34:00,2021
0.04,16,02,13:30:00,2021,농산부산물소각,산432,두산,울주,범서,울산,16,화요일,02,11:53:00,2021
0.08,15,02,17:02:00,2021,기타,산85,대대,용인,처인,경기,15,월요일,02,15:55:00,2021
0.01,14,02,15:40:00,2021,기타,산4-2,삼리,달성,논공,대구,14,일요일,02,14:21:00,2021
0.06,14,02,14:00:00,2021,쓰레기소각,산96-1,도전,여주,강천,경기,14,일요일,02,11:30:00,2021
0.1,13,02,17:20:00,2021,기타,산198,세동,고흥,포두,전남,13,토요일,02,15:50:00,2021
0.09,13,02,18:00:00,2021,입산자실화,산39-1,자곡,강남,,서울,13,토요일,02,14:01:00,2021
0.1,13,02,17:20:00,2021,기타,산168,도정,순천,송주,전남,13,토요일,02,13:51:00,2021
0.8,13,02,16:00:00,2021,기타,산32,가산,남원,문봉,전북,13,토요일,02,13:30:00,2021
0.02,12,02,18:23:00,2021,기타,산100-1,맥금,파주,,경기,12,금요일,02,17:54:00,2021
0.06,12,02,17:50:00,2021,쓰레기소각,201.0,무왕,양평,지평,경기,12,금요일,02,16:37:00,2021
0.01,12,02,18:10:00,2021,기타,산236-1,한운,신안,안좌,전남,12,금요일,02,15:52:00,2021
0.02,12,02,17:00:00,2021,기타,산117-1,나대,합천,야로,경남,12,금요일,02,15:36:00,2021
0.02,12,02,15:48:00,2021,쓰레기소각,산2-4,동백,용인,기흥,경기,12,금요일,02,15:17:00,2021
0.1,12,02,15:30:00,2021,기타,산66,오로,의성,의성,경북,12,금요일,02,13:40:00,2021
0.02,12,02,11:30:00,2021,담뱃불실화,산115-2,냉정,포천,관인,경기,12,금요일,02,10:29:00,2021
0.1,11,02,15:04:00,2021,농산부산물소각,산15-7,신당,경주,천북,경북,11,목요일,02,13:33:00,2021
0.01,10,02,15:30:00,2021,입산자실화,산80,좌운,홍천,동,강원,10,수요일,02,14:12:00,2021
3,11,02,11:00:00,2021,기타,산129-29,마,광양,,전남,10,수요일,02,12:42:00,2021
0.26,10,02,12:50:00,2021,쓰레기소각,산38-2,삼지,영양,영양,경북,10,수요일,02,10:50:00,2021
0.01,10,02,11:45:00,2021,쓰레기소각,산217,우계,하동,적량,경남,10,수요일,02,10:37:00,2021
0.05,09,02,17:22:00,2021,입산자실화,산2-1,화개,영덕,영덕,경북,09,화요일,02,16:10:00,2021
0.05,09,02,17:20:00,2021,농산부산물소각,산98,우복,하동,양보,경남,09,화요일,02,15:32:00,2021
0.03,09,02,16:05:00,2021,기타,산61-2,운곡,의성,금성,경북,09,화요일,02,14:24:00,2021
1,09,02,23:00:00,2021,기타,산71외9필,서하,삼척,신기,강원,09,화요일,02,13:19:00,2021
